Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air,tahun,kecamatan,latitude,longitude
0,2018-01-02,jakarta barat,kamal muara,1,0,30,2018,penjaringan,-6.185562,106.94010945394294
1,2018-01-02,jakarta barat,kamal muara,4,0,30,2018,penjaringan,-6.185562,106.94010945394294
2,2018-01-03,jakarta utara,kamal,1,0,25,2018,kalideres,-6.1528985,106.74471823726267
3,2018-01-03,jakarta utara,kamal,4,0,25,2018,kalideres,-6.1528985,106.74471823726267
4,2018-01-04,jakarta utara,kamal,1,0,25,2018,kalideres,-6.1528985,106.74471823726267
5,2018-01-04,jakarta utara,kamal,4,0,25,2018,kalideres,-6.1528985,106.74471823726267
6,2018-01-05,jakarta utara,kamal,1,0,25,2018,kalideres,-6.1528985,106.74471823726267
7,2018-01-05,jakarta utara,kamal,4,0,25,2018,kalideres,-6.1528985,106.74471823726267
8,2018-01-18,jakarta utara,kamal,1,0,25,2018,kalideres,-6.1528985,106.74471823726267
9,2018-01-18,jakarta utara,kamal,4,0,25,2018,kalideres,-6.1528985,106.74471823726267
10,2018-01-31,jakarta utara,kamal,1,0,25,2018,kalideres,-6.1528985,106.74471823726267
11,2018-01-31,jakarta utara,kamal,4,0,25,2018,kalideres,-6.1528985,106.74471823726267
12,2018-01-03,jakarta utara,jelambar baru,1,0,15,2018,grogol petamburan,-6.1528985,106.74471823726267
13,2018-01-03,jakarta utara,jelambar,7,0,20,2018,grogol petamburan,-6.1528985,106.74471823726267
14,2018-01-18,jakarta utara,kembangan utara,3,0,20,2018,kembangan,-6.2897982,106.79692637055228
15,2018-01-18,jakarta utara,kembangan utara,4,0,20,2018,kembangan,-6.2897982,106.79692637055228
16,2018-01-18,jakarta utara,kembangan utara,5,0,20,2018,kembangan,-6.2897982,106.79692637055228
17,2018-01-18,jakarta utara,kembangan utara,6,0,20,2018,kembangan,-6.2897982,106.79692637055228
18,2018-01-18,jakarta utara,kapuk,2,0,30,2018,cengkareng,-6.12901455,106.944453775
19,2018-01-18,jakarta utara,kapuk,5,0,30,2018,cengkareng,-6.12901455,106.944453775
20,2018-01-18,jakarta utara,kapuk,6,0,30,2018,cengkareng,-6.12901455,106.944453775
21,2018-01-18,jakarta utara,kapuk,7,0,30,2018,cengkareng,-6.12901455,106.944453775
22,2018-01-18,jakarta utara,kapuk,9,0,30,2018,cengkareng,-6.12901455,106.944453775
23,2018-01-18,jakarta utara,kapuk,12,0,30,2018,cengkareng,-6.12901455,106.944453775
24,2018-01-18,jakarta utara,kapuk,13,0,30,2018,cengkareng,-6.12901455,106.944453775
25,2018-01-18,jakarta utara,kapuk,15,0,30,2018,cengkareng,-6.12901455,106.944453775
26,2018-01-18,jakarta utara,kapuk,16,0,30,2018,cengkareng,-6.12901455,106.944453775
27,2018-01-18,jakarta utara,rawa buaya,1,0,20,2018,cengkareng,-6.12901455,106.944453775
28,2018-01-18,jakarta utara,rawa buaya,2,0,20,2018,cengkareng,-6.12901455,106.944453775
29,2018-01-18,jakarta utara,cengkareng timur,3,0,40,2018,cengkareng,-6.12901455,106.944453775
30,2018-01-18,jakarta utara,cengkareng timur,4,0,40,2018,cengkareng,-6.12901455,106.944453775
31,2018-01-18,jakarta utara,cengkareng timur,12,0,40,2018,cengkareng,-6.12901455,106.944453775
32,2018-01-18,jakarta utara,cengkareng timur,13,0,40,2018,cengkareng,-6.12901455,106.944453775
33,2018-02-15,jakarta pusat,cempaka putih timur,5,0,35,2018,cempaka putih,-6.3296346,106.87660392506864
34,2018-02-15,jakarta pusat,cempaka putih timur,7,0,35,2018,cempaka putih,-6.3296346,106.87660392506864
35,2018-02-15,jakarta pusat,cempaka putih timur,8,0,35,2018,cempaka putih,-6.3296346,106.87660392506864
36,2018-02-16,jakarta pusat,cempaka putih timur,5,0,35,2018,cempaka putih,-6.3296346,106.87660392506864
37,2018-02-16,jakarta pusat,cempaka putih timur,7,0,35,2018,cempaka putih,-6.3296346,106.87660392506864
38,2018-02-16,jakarta pusat,cempaka putih timur,8,0,35,2018,cempaka putih,-6.3296346,106.87660392506864
39,2018-02-15,jakarta pusat,serdang,1,0,50,2018,kemayoran,-6.1641878,106.78831657883393
40,2018-02-15,jakarta pusat,serdang,7,0,50,2018,kemayoran,-6.1641878,106.78831657883393
41,2018-02-01,jakarta utara,kamal muara,1,0,10,2018,penjaringan,-6.185562,106.94010945394294
42,2018-02-01,jakarta utara,kamal muara,2,0,10,2018,penjaringan,-6.185562,106.94010945394294
43,2018-02-01,jakarta utara,kamal muara,4,0,10,2018,penjaringan,-6.185562,106.94010945394294
44,2018-02-15,jakarta utara,kamal muara,1,0,10,2018,penjaringan,-6.185562,106.94010945394294
45,2018-02-15,jakarta utara,kamal muara,2,0,10,2018,penjaringan,-6.185562,106.94010945394294
46,2018-02-15,jakarta utara,kamal muara,4,0,10,2018,penjaringan,-6.185562,106.94010945394294
47,2018-02-15,jakarta utara,penjaringan,12,0,35,2018,penjaringan,-6.185562,106.94010945394294
48,2018-02-15,jakarta utara,penjaringan,17,0,35,2018,penjaringan,-6.185562,106.94010945394294
49,2018-02-15,jakarta utara,kapuk muara,1,0,15,2018,penjaringan,-6.185562,106.94010945394294
50,2018-02-15,jakarta utara,sukapura,1,30,50,2018,cilincing,-6.3244486,106.81917593837187
51,2018-02-15,jakarta utara,sukapura,10,30,50,2018,cilincing,-6.3244486,106.81917593837187
52,2018-02-16,jakarta utara,sukapura,1,30,50,2018,cilincing,-6.3244486,106.81917593837187
53,2018-02-16,jakarta utara,sukapura,10,30,50,2018,cilincing,-6.3244486,106.81917593837187
54,2018-02-15,jakarta utara,pegangsaan dua,3,100,70,2018,kelapa gading,-6.2149252,106.8703394
55,2018-02-16,jakarta utara,pegangsaan dua,3,100,70,2018,kelapa gading,-6.2149252,106.8703394
56,2018-02-15,jakarta utara,tugu selatan,4,140,40,2018,koja,-7.2353758,110.0802575
57,2018-02-16,jakarta utara,tugu selatan,4,140,40,2018,koja,-7.2353758,110.0802575
58,2018-02-05,jakarta barat,tegal alur,1,0,30,2018,kalideres,-6.1528985,106.74471823726267
59,2018-02-05,jakarta barat,tegal alur,2,0,30,2018,kalideres,-6.1528985,106.74471823726267
60,2018-02-05,jakarta barat,tegal alur,3,0,30,2018,kalideres,-6.1528985,106.74471823726267
61,2018-02-05,jakarta barat,tegal alur,4,0,30,2018,kalideres,-6.1528985,106.74471823726267
62,2018-02-05,jakarta barat,tegal alur,5,0,30,2018,kalideres,-6.1528985,106.74471823726267
63,2018-02-05,jakarta barat,tegal alur,6,0,30,2018,kalideres,-6.1528985,106.74471823726267
64,2018-02-05,jakarta barat,tegal alur,7,0,30,2018,kalideres,-6.1528985,106.74471823726267
65,2018-02-05,jakarta barat,tegal alur,8,0,30,2018,kalideres,-6.1528985,106.74471823726267
66,2018-02-05,jakarta barat,tegal alur,9,0,30,2018,kalideres,-6.1528985,106.74471823726267
67,2018-02-05,jakarta barat,tegal alur,10,0,30,2018,kalideres,-6.1528985,106.74471823726267
68,2018-02-05,jakarta barat,tegal alur,11,0,30,2018,kalideres,-6.1528985,106.74471823726267
